,linqmap_type,linqmap_subtype,pubDate,linqmap_reportDescription,linqmap_city,linqmap_street,linqmap_roadType,linqmap_reportRating,linqmap_magvar,linqmap_reliability,update_date,x,y
1457,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 15:41:06.000,,,1 מערב,3,5,311,6,2022-05-15 15:53:02.366,181714.33000000007,659761.5299999993
1458,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-04-14 19:43:34.000,,יהוד-מונוסון,נורדאו,1,0,0,10,2022-05-15 15:53:02.367,189948.21,659628.6099999994
1459,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 15:32:05.000,,,471 מזרח,3,5,85,9,2022-05-15 15:53:02.368,191843.7199999997,663795.3100000005
1460,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-03-22 16:00:02.000,,תל אביב - יפו,בן יהודה,2,0,0,10,2022-05-15 15:53:02.368,178693.75,665885.8900000006
1461,WEATHERHAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,2022-05-15 15:46:45.000,,,6 צפון,3,5,33,10,2022-05-15 15:53:02.368,196976.6200000001,679766.0500000007
1462,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 15:37:53.000,,,ל-4 חיפה,4,0,7,5,2022-05-15 15:53:02.369,183372.6500000004,658528.3499999996
1463,WEATHERHAZARD,HAZARD_ON_ROAD_CAR_STOPPED,2022-05-15 15:47:58.000,,,44 דרום,6,5,145,6,2022-05-15 15:53:02.369,183117.0499999998,656713.0099999998
1465,JAM,JAM_HEAVY_TRAFFIC,2022-05-15 15:26:53.000,,,5 מזרח,3,5,116,5,2022-05-15 15:53:02.370,184834.1500000004,671035.9100000001
1466,JAM,JAM_MODERATE_TRAFFIC,2022-05-15 15:25:08.000,,תל אביב - יפו,המלך כורש,1,5,26,5,2022-05-15 15:53:02.370,179420.5599999996,663857.9100000001
1464,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 15:42:28.000,,,,4,5,107,5,2022-05-15 15:53:02.370,183986.96,662846.0600000005
1467,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 15:27:50.000,,תל אביב - יפו,אליעזר פרי,2,4,31,7,2022-05-15 15:53:02.371,178483.15000000037,666033.7300000004
1468,WEATHERHAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,2022-05-15 15:47:19.000,,,20 איילון צפון,3,5,5,10,2022-05-15 15:53:02.371,184336.1299999999,681587.1899999995
1469,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 15:34:58.000,,,20 איילון דרום,3,5,184,7,2022-05-15 15:53:02.371,180614.23000000045,664628.3200000003
1470,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 15:28:45.000,,,531 מזרח,3,5,88,9,2022-05-15 15:53:02.372,188738.7999999998,675448.2799999993
1471,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 15:48:06.000,,,"ל-אלוף שדה, הפארק הלאומי",4,5,290,5,2022-05-15 15:53:02.372,183997.16000000012,662874.3000000007
1472,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-02-06 09:06:34.000,,תל אביב - יפו,,2,0,0,10,2022-05-15 15:53:02.372,177395.46999999974,662145.5199999996
1473,JAM,JAM_HEAVY_TRAFFIC,2022-05-15 15:40:27.000,,,6 דרום,3,5,239,7,2022-05-15 15:53:02.372,194916.9000000004,652261.8100000005
1474,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-04-22 12:08:21.000,,תל אביב - יפו,שתולים,1,0,0,9,2022-05-15 15:53:02.373,180759.6799999997,661531.8699999992
1475,JAM,,2022-05-15 15:31:31.000,,פתח תקווה,יצחק רבין,2,5,181,6,2022-05-15 15:53:02.373,186965.09999999963,665389.4199999999
1476,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 15:29:01.000,,,4 צפון,3,5,38,10,2022-05-15 15:53:02.373,186410.9500000002,669973.0299999993
1477,JAM,JAM_MODERATE_TRAFFIC,2022-05-15 15:38:39.000,,רעננה,החרושת,2,5,172,5,2022-05-15 15:53:02.374,188932.6399999997,677876.9700000007
1478,ACCIDENT,,2022-05-15 15:51:06.000,,,444 צפון,6,5,177,5,2022-05-15 15:53:02.374,194761.51999999955,663092.3200000003
1479,WEATHERHAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,2022-05-15 15:45:15.000,,,4 דרום,3,5,211,10,2022-05-15 15:53:02.374,183329.1299999999,658536.5
1481,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 15:23:03.000,,,6 צפון,3,5,39,10,2022-05-15 15:53:02.375,194813.9000000004,669951.6699999999
1480,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 15:37:46.000,,,"ל-5 אריאל, כביש 6",4,5,113,5,2022-05-15 15:53:02.375,186729.41000000012,670047.9000000004
1482,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-05-05 13:08:13.000,,תל אביב - יפו,רוני,1,0,0,10,2022-05-15 15:53:02.375,180468.24000000025,661860.9900000002
1487,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 15:40:54.000,,,20 איילון דרום,3,5,189,6,2022-05-15 15:53:02.377,177329.09999999963,656143.1500000004
1488,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-03-07 21:14:58.000,,תל אביב - יפו,לוינסקי,17,0,0,10,2022-05-15 15:53:02.377,178626.95999999996,663024.7799999993
1486,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-05-04 18:24:21.000,,יהוד-מונוסון,,1,0,0,9,2022-05-15 15:53:02.377,189608.8799999999,659721.5999999996
1484,JAM,JAM_HEAVY_TRAFFIC,2022-05-15 15:51:34.000,,תל אביב - יפו,חיים לבנון,2,5,9,5,2022-05-15 15:53:02.377,181475.71,669683.8599999994
1483,ROAD_CLOSED,ROAD_CLOSED_EVENT,2021-11-16 06:00:01.000,,תל אביב - יפו,בן סרוק,1,0,0,10,2022-05-15 15:53:02.377,179748.33000000007,666135.5099999998
1485,WEATHERHAZARD,HAZARD_ON_ROAD_CAR_STOPPED,2022-05-15 15:47:36.000,,,20 איילון דרום,3,5,193,10,2022-05-15 15:53:02.377,181316.2000000002,666530.1300000008
1489,JAM,JAM_HEAVY_TRAFFIC,2022-05-15 15:45:11.000,,רמת גן,פרץ ברנשטיין,2,5,35,5,2022-05-15 15:53:02.378,183795.5499999998,662608.9199999999
1490,ROAD_CLOSED,ROAD_CLOSED_EVENT,2021-12-09 18:41:55.000,,יהוד-מונוסון,תמר,1,0,0,10,2022-05-15 15:53:02.378,188285.58999999985,659377.2899999991
1491,WEATHERHAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,2022-05-15 15:48:01.000,,,1 מזרח,3,5,128,10,2022-05-15 15:53:02.378,191412.73000000045,653616.2799999993
1492,WEATHERHAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,2022-05-15 15:47:16.000,,,1 מזרח,3,4,166,10,2022-05-15 15:53:02.379,194201.9699999997,645392.4299999997
1493,WEATHERHAZARD,HAZARD_ON_ROAD_CONSTRUCTION,2021-02-07 05:00:00.000,חסר מידע,,,0,0,0,10,2022-05-15 15:53:02.379,178825.86000000034,665089.1799999997
1494,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 15:32:29.000,,,41 מזרח,6,5,94,5,2022-05-15 15:53:02.379,169314.6200000001,637346.0399999991
1495,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 15:31:22.000,,,ל-20 איילון צפון,4,5,29,8,2022-05-15 15:53:02.380,182126.75999999975,668516.1400000006
1496,JAM,JAM_HEAVY_TRAFFIC,2022-05-15 15:19:31.000,,,4 צפון,3,5,22,10,2022-05-15 15:53:02.380,180226.04000000004,653138.1099999994
1497,WEATHERHAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,2022-05-15 15:47:54.000,,,412 דרום,6,5,252,10,2022-05-15 15:53:02.380,183809.84999999963,656948.5899999999
1498,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-04-22 12:08:20.000,,תל אביב - יפו,שתולים,1,0,0,7,2022-05-15 15:53:02.381,180759.6799999997,661531.8699999992
1499,JAM,JAM_HEAVY_TRAFFIC,2022-05-15 15:47:03.000,,רמת גן,בן צבי,1,5,108,5,2022-05-15 15:53:02.381,183813.1799999997,662815.3300000001
1500,WEATHERHAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,2022-05-15 15:46:48.000,,,6 דרום,3,5,171,10,2022-05-15 15:53:02.381,196365.1500000004,675238.8800000008
1503,JAM,JAM_HEAVY_TRAFFIC,2022-05-15 15:28:26.000,,פתח תקווה,דרך זבולון המר,2,5,337,8,2022-05-15 15:53:02.382,187717.8899999997,668064.9499999993
1501,JAM,JAM_HEAVY_TRAFFIC,2022-05-15 15:37:40.000,,,461 מערב,6,5,274,6,2022-05-15 15:53:02.382,184752.3799999999,660464.4199999999
1502,WEATHERHAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,2022-05-15 15:50:03.000,,,20 איילון דרום,3,5,214,8,2022-05-15 15:53:02.382,180739.03000000023,664944.5500000007
1504,JAM,,2022-05-15 15:31:17.000,,,1 מזרח,3,5,140,10,2022-05-15 15:53:02.383,180323.5,660889.9000000004
1505,WEATHERHAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,2022-05-15 15:40:13.000,,,1 מזרח,3,1,154,10,2022-05-15 15:53:02.383,193798.01999999955,646744.2899999991
1506,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 15:27:35.000,,,57 מזרח,6,5,85,5,2022-05-15 15:53:02.383,190256.58999999985,692225.5999999996
1507,WEATHERHAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,2022-05-15 15:45:26.000,,,,7,5,199,5,2022-05-15 15:53:02.384,186110.6399999997,682570.1899999995
1508,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 15:34:30.000,,,20 איילון צפון,3,5,32,6,2022-05-15 15:53:02.384,180475.9699999997,663707.2100000009
1509,JAM,JAM_HEAVY_TRAFFIC,2022-05-15 15:50:06.000,,,4 דרום,3,5,191,5,2022-05-15 15:53:02.384,189783.9000000004,676792.5500000007
1510,ROAD_CLOSED,ROAD_CLOSED_EVENT,2021-12-13 12:51:07.000,,תל אביב - יפו,הר ציון,2,0,0,10,2022-05-15 15:53:02.385,179177.2000000002,662945.9700000007
1511,WEATHERHAZARD,HAZARD_ON_ROAD_CAR_STOPPED,2022-05-15 14:48:01.000,,,411,7,5,128,10,2022-05-15 15:53:02.385,185172.8200000003,638915.5800000001
1512,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 15:32:42.000,,נתניה,,2,5,98,6,2022-05-15 15:53:02.385,187725.5700000003,692407.4100000001
1514,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 15:34:49.000,,,4 צפון,3,5,26,10,2022-05-15 15:53:02.386,184888.49000000025,663580.9700000007
1513,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 15:41:29.000,,,6 צפון,3,5,22,9,2022-05-15 15:53:02.386,194303.73000000045,669147.1899999995
1516,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-02-03 09:20:12.000,,תל אביב - יפו,,2,0,0,10,2022-05-15 15:53:02.387,179075.4500000002,663147.9499999993
1517,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-02-20 19:00:02.000,,אור יהודה,דוד אלעזר,1,0,0,10,2022-05-15 15:53:02.387,187498.5599999996,659374.9499999993
1518,JAM,JAM_HEAVY_TRAFFIC,2022-05-15 15:37:38.000,,רעננה,החרושת,2,5,170,5,2022-05-15 15:53:02.387,188905.34999999963,678082.8900000006
1515,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-04-06 19:51:28.000,,אור יהודה,,1,0,0,10,2022-05-15 15:53:02.387,186004.1399999997,659312.2799999993
1520,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-02-06 09:05:17.000,,תל אביב - יפו,שד ירושלים,2,0,0,10,2022-05-15 15:53:02.388,177386.4299999997,662058.9399999995
1521,JAM,JAM_MODERATE_TRAFFIC,2022-05-15 15:47:04.000,,פתח תקווה,דרך שלמה שמלצר,2,5,269,5,2022-05-15 15:53:02.388,186061.3700000001,667488.1500000004
1519,WEATHERHAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,2022-05-15 15:48:12.000,,,2 דרום,3,5,173,10,2022-05-15 15:53:02.388,188749.71,695344.8300000001
1522,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-02-03 09:20:12.000,,תל אביב - יפו,,2,0,0,10,2022-05-15 15:53:02.389,179107.7000000002,663112.9000000004
1523,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-02-24 16:37:58.000,,חולון,אילת,2,0,0,8,2022-05-15 15:53:02.389,177947.29000000004,658711.3100000005
1524,WEATHERHAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,2022-05-15 15:50:53.000,,,4 דרום,3,5,248,6,2022-05-15 15:53:02.389,186944.16000000012,670420.6799999997
1525,JAM,JAM_MODERATE_TRAFFIC,2022-05-15 15:36:46.000,,,444 דרום,6,5,198,6,2022-05-15 15:53:02.390,194971.8799999999,664178.2599999998
1526,JAM,JAM_MODERATE_TRAFFIC,2022-05-15 15:36:29.000,,,5504,7,5,93,5,2022-05-15 15:53:02.390,196256.0599999996,679398.0700000003
1527,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-04-12 08:45:04.000,,רמת השרון,הנצח,1,0,0,10,2022-05-15 15:53:02.390,185861.98000000045,672598.8100000005
1528,JAM,JAM_HEAVY_TRAFFIC,2022-05-15 15:38:31.000,,,531 מזרח,3,5,118,5,2022-05-15 15:53:02.391,193169.11000000036,674589.6199999992
1529,JAM,JAM_HEAVY_TRAFFIC,2022-05-15 15:36:26.000,,,6 צפון,3,5,73,5,2022-05-15 15:53:02.391,192009.9699999997,647202.2599999998
1530,JAM,JAM_MODERATE_TRAFFIC,2022-05-15 15:29:45.000,,,461 מזרח,6,5,100,7,2022-05-15 15:53:02.391,186117.25999999975,660276.2799999993
1534,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-02-06 09:05:17.000,,תל אביב - יפו,שד ירושלים,2,0,0,6,2022-05-15 15:53:02.392,177412.58000000007,662309.3499999996
1533,JAM,JAM_HEAVY_TRAFFIC,2022-05-15 15:38:50.000,,,5 מזרח,3,5,117,7,2022-05-15 15:53:02.392,186637.5,670137.7300000004
1532,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-02-06 09:05:17.000,,תל אביב - יפו,שד ירושלים,2,0,0,10,2022-05-15 15:53:02.392,177419.7000000002,662364.0999999996
1531,JAM,JAM_MODERATE_TRAFFIC,2022-05-15 15:41:47.000,,תל אביב - יפו,גרוזנברג,1,5,39,5,2022-05-15 15:53:02.392,178325.3099999996,663628.9600000009
1535,WEATHERHAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,2022-05-15 15:49:14.000,,,40 דרום,6,5,174,6,2022-05-15 15:53:02.393,190995.1500000004,663270.7899999991
1536,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-02-06 09:05:17.000,,תל אביב - יפו,שד ירושלים,2,0,0,7,2022-05-15 15:53:02.393,177349.91999999993,661773.3100000005
1537,WEATHERHAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,2022-05-15 15:49:25.000,,,,4,5,181,6,2022-05-15 15:53:02.394,194266.91000000012,663795.1300000008
1538,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-03-22 09:58:06.000,,תל אביב - יפו,מאנגר איציק,1,0,0,10,2022-05-15 15:53:02.394,179116.38999999966,665972.2300000004
1539,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-02-22 15:00:03.000,,אור יהודה,הכלנית,1,0,0,10,2022-05-15 15:53:02.394,187663.8200000003,659810.7899999991
1540,JAM,JAM_HEAVY_TRAFFIC,2022-05-15 15:41:57.000,,בני ברק,אשל אברהם,1,5,235,5,2022-05-15 15:53:02.395,185210.61000000036,665469.4700000007
1541,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 15:38:39.000,,,ל-20 איילון דרום,4,5,184,7,2022-05-15 15:53:02.395,177325.36000000034,656130.1899999995
1542,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 15:42:01.000,,,20 איילון צפון,3,5,34,7,2022-05-15 15:53:02.395,179559.86000000034,660992.2599999998
1560,JAM,JAM_HEAVY_TRAFFIC,2022-05-15 15:29:25.000,,,461 מערב,6,5,282,5,2022-05-15 15:53:02.396,182610.28000000023,661311.8499999996
1558,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 15:45:33.000,,בני ברק,המכבים,1,5,73,6,2022-05-15 15:53:02.396,184371.91000000012,667512.6099999994
1561,JAM,JAM_MODERATE_TRAFFIC,2022-05-15 15:49:17.000,,תל אביב - יפו,הרב הלר חיים,2,5,88,5,2022-05-15 15:53:02.396,177233.48000000045,660431.0600000005
1559,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 15:26:52.000,,,40 צפון,6,4,4,7,2022-05-15 15:53:02.396,190992.3700000001,668935.3800000008
1562,JAM,JAM_HEAVY_TRAFFIC,2022-05-15 15:35:45.000,,,20 איילון דרום,3,5,192,7,2022-05-15 15:53:02.396,181441.66000000012,667135.4600000009
1552,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 15:41:51.000,,,"ל-4 ירושלים, אשדוד",4,5,152,6,2022-05-15 15:53:02.396,185518.36000000036,666562.1400000006
1564,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 15:18:39.000,,,2 צפון,3,5,318,8,2022-05-15 15:53:02.396,187504.8099999996,696580.6699999999
1565,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-03-22 16:00:02.000,,תל אביב - יפו,בן יהודה,2,0,0,10,2022-05-15 15:53:02.396,178678.98000000045,665826.8399999999
1566,WEATHERHAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,2022-05-15 15:51:38.000,,,7 מזרח,3,5,94,5,2022-05-15 15:53:02.396,184362.2000000002,634739.3300000001
1567,JAM,JAM_MODERATE_TRAFFIC,2022-05-15 15:47:57.000,,תל אביב - יפו,"ש""י עגנון",2,5,81,5,2022-05-15 15:53:02.396,179752.91000000015,667721.3699999992
1557,WEATHERHAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,2022-05-15 15:49:28.000,,,40 צפון,6,5,57,6,2022-05-15 15:53:02.396,191050.5,650453.5700000003
1563,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 15:41:27.000,,תל אביב - יפו,פינס,1,5,130,5,2022-05-15 15:53:02.396,178215.25,663124.9199999999
1556,WEATHERHAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,2022-05-15 15:29:38.000,,באר יעקב,זבוטינסקי,2,5,97,7,2022-05-15 15:53:02.396,185585.7000000002,649257.8300000001
1550,JAM,,2022-05-15 15:33:06.000,,תל אביב - יפו,הארבעה,1,5,90,5,2022-05-15 15:53:02.396,179892.41999999993,664198.1199999992
1554,JAM,JAM_HEAVY_TRAFFIC,2022-05-15 15:35:59.000,,,4 צפון,6,5,2,5,2022-05-15 15:53:02.396,191577.84999999963,695644.5999999996
1553,JAM,JAM_MODERATE_TRAFFIC,2022-05-15 15:31:21.000,,נתניה,גיבורי ישראל,2,5,217,5,2022-05-15 15:53:02.396,186836.66999999995,686710.0299999993
1551,WEATHERHAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,2022-05-15 15:50:39.000,,,1 מערב,3,5,307,5,2022-05-15 15:53:02.396,189581.74000000025,654874.3900000006
1555,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 15:48:00.000,,,562,7,5,11,6,2022-05-15 15:53:02.396,192944.66999999995,686738.0099999998
1549,JAM,JAM_HEAVY_TRAFFIC,2022-05-15 15:26:49.000,,תל אביב - יפו,איינשטיין,2,5,83,5,2022-05-15 15:53:02.396,180424.3200000003,668854.9199999999
1548,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-03-22 16:00:02.000,,תל אביב - יפו,בן יהודה,2,0,0,6,2022-05-15 15:53:02.396,178693.75,665885.8900000006
1547,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 15:33:14.000,,,6 צפון,3,5,18,7,2022-05-15 15:53:02.396,193642.41000000012,650700.3900000006
1546,JAM,JAM_MODERATE_TRAFFIC,2022-05-15 15:34:07.000,,ראשון לציון,הלפרין,1,5,276,5,2022-05-15 15:53:02.396,181620.46,653047.7899999991
1545,JAM,JAM_MODERATE_TRAFFIC,2022-05-15 15:48:05.000,,רמת גן,ארלוזורוב,2,5,115,5,2022-05-15 15:53:02.396,182566.33999999985,665191.3699999992
1544,JAM,JAM_HEAVY_TRAFFIC,2022-05-15 15:40:33.000,,רמת גן,הרב גורן,2,5,262,5,2022-05-15 15:53:02.396,185628.1900000004,662937.2200000007
1543,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-03-21 12:08:55.000,,תל אביב - יפו,ארלוזורוב,2,0,0,10,2022-05-15 15:53:02.396,179116.7000000002,665979.1099999994
1568,JAM,,2022-05-15 15:38:30.000,,,20 איילון דרום,3,5,193,6,2022-05-15 15:53:02.399,179830.51999999955,662559.4800000004
1592,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-01-04 21:37:10.000,,אור יהודה,יגאל אלון,2,0,0,10,2022-05-15 15:53:02.401,186205.24000000025,659506.6899999995
1591,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-02-15 18:24:40.000,,ראשון לציון,שלמה לוי,1,0,0,10,2022-05-15 15:53:02.401,183741.01999999955,652595.0
1590,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 15:42:05.000,,,ל-1 ירושלים,4,5,191,5,2022-05-15 15:53:02.401,179862.63999999966,662780.6999999993
1589,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-02-20 19:00:02.000,,אור יהודה,דוד אלעזר,1,0,0,10,2022-05-15 15:53:02.401,187492.6399999997,659382.8399999999
1588,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 15:49:42.000,,,"ל-20 איילון דרום, אשדוד",4,5,159,5,2022-05-15 15:53:02.401,177013.0599999996,654932.7300000004
1587,JAM,,2022-05-15 15:23:22.000,,,"ל-4 תל אביב, אשדוד",4,5,275,6,2022-05-15 15:53:02.401,185130.5700000003,663597.9100000001
1586,ACCIDENT,,2022-05-15 15:42:43.000,,,444 דרום,6,5,144,10,2022-05-15 15:53:02.401,194396.46,669668.1400000006
1593,WEATHERHAZARD,HAZARD_ON_ROAD_CAR_STOPPED,2022-05-15 15:43:15.000,,,531 מערב,3,4,307,10,2022-05-15 15:53:02.401,195333.5700000003,672611.8800000008
1584,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 15:29:34.000,,,4 צפון,3,5,44,8,2022-05-15 15:53:02.401,182775.1399999997,657780.75
1583,WEATHERHAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,2022-05-15 15:48:44.000,,,"ל-שד רוקח, מרכז הירידים",4,5,247,10,2022-05-15 15:53:02.401,181610.91999999995,667874.25
1582,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 15:45:16.000,,,5613,7,5,111,5,2022-05-15 15:53:02.401,193874.6399999997,689577.5299999993
1581,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 15:44:01.000,,,553,7,5,78,5,2022-05-15 15:53:02.401,192233.50999999975,685314.8599999994
1585,JAM,JAM_MODERATE_TRAFFIC,2022-05-15 15:44:53.000,,,,6,5,92,5,2022-05-15 15:53:02.401,189685.99000000025,659310.5700000003
1579,JAM,JAM_HEAVY_TRAFFIC,2022-05-15 15:45:59.000,,,444 צפון,7,5,19,5,2022-05-15 15:53:02.401,198503.16999999995,681501.5999999996
1569,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-05-08 13:00:00.000,,,ל- שד רבין,4,0,0,6,2022-05-15 15:53:02.401,177015.08000000007,654349.8800000008
1570,WEATHERHAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,2022-05-15 15:48:29.000,,,20 איילון צפון,3,5,321,10,2022-05-15 15:53:02.401,184914.78000000023,680439.9299999997
1572,WEATHERHAZARD,HAZARD_ON_ROAD_CAR_STOPPED,2022-05-15 15:50:59.000,,,20 איילון צפון,3,5,22,6,2022-05-15 15:53:02.401,183207.91000000012,675079.8699999992
1573,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 15:51:34.000,,,2 צפון,3,5,15,5,2022-05-15 15:53:02.401,186677.2199999997,687166.1799999997
1571,JAM,JAM_MODERATE_TRAFFIC,2022-05-15 15:44:29.000,,תל אביב - יפו,ניצנה,1,5,351,5,2022-05-15 15:53:02.401,177641.5599999996,662689.2899999991
1575,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 15:38:59.000,,תל אביב - יפו,דרך השלום,2,5,175,5,2022-05-15 15:53:02.401,181515.5499999998,663785.0099999998
1576,WEATHERHAZARD,HAZARD_ON_ROAD_CONSTRUCTION,2022-05-15 15:38:15.000,,גבעתיים,זבוטינסקי,1,5,274,5,2022-05-15 15:53:02.401,182767.54000000004,664510.9499999993
1577,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-03-21 12:08:55.000,,תל אביב - יפו,ארלוזורוב,2,0,0,10,2022-05-15 15:53:02.401,179182.24000000022,665961.1099999994
1578,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 15:36:13.000,,,20 איילון דרום,3,5,197,5,2022-05-15 15:53:02.401,181123.7199999997,665879.0299999993
1574,JAM,JAM_HEAVY_TRAFFIC,2022-05-15 15:46:51.000,,בני ברק,רמז,1,5,83,5,2022-05-15 15:53:02.401,184282.0,664930.1600000001
1580,JAM,JAM_HEAVY_TRAFFIC,2022-05-15 15:28:23.000,,תל אביב - יפו,משה דיין,2,5,200,5,2022-05-15 15:53:02.401,181220.1200000001,664172.8100000005
1594,JAM,JAM_HEAVY_TRAFFIC,2022-05-15 15:30:22.000,,חולון,דרך השבעה,6,5,148,5,2022-05-15 15:53:02.402,182399.74000000025,657856.0299999993
1595,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-01-04 21:37:08.000,,אור יהודה,יגאל אלון,2,0,0,10,2022-05-15 15:53:02.404,186260.91999999995,659751.1099999994
1596,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-02-22 15:00:03.000,,אור יהודה,האיריס,1,0,0,10,2022-05-15 15:53:02.406,187687.1200000001,659857.8300000001
1597,JAM,JAM_MODERATE_TRAFFIC,2022-05-15 15:38:21.000,,חולון,שד ירושלים,2,5,159,5,2022-05-15 15:53:02.409,179973.79000000004,658710.4100000001
1599,JAM,JAM_HEAVY_TRAFFIC,2022-05-15 15:49:05.000,,,444 דרום,6,5,210,5,2022-05-15 15:53:02.412,194717.00999999975,652480.3599999994
1598,JAM,JAM_HEAVY_TRAFFIC,2022-05-15 15:48:49.000,,רמת גן,מצדה,1,5,59,5,2022-05-15 15:53:02.412,183704.36000000036,662780.8100000005
1600,ACCIDENT,ACCIDENT_MINOR,2022-05-15 15:31:39.000,,פתח תקווה,קפלן,2,5,8,9,2022-05-15 15:53:02.413,187726.6399999997,665965.1799999997
1601,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-04-17 18:49:39.000,,נתניה,,1,0,0,10,2022-05-15 15:53:02.413,186647.59999999963,695230.3699999992
1602,JAM,,2022-05-15 15:43:28.000,,,"ל-קיבוץ גלויות, לה גוורדייה",4,5,12,5,2022-05-15 15:53:02.413,179694.0499999998,661276.5199999996
1603,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 15:34:32.000,,,2 צפון,3,5,14,5,2022-05-15 15:53:02.414,187098.16000000012,688705.9900000002
